127.0.0.1 - - [07/Dec/2022:08:56:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:56:56 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:56:56 +0900] "GET /JSP_project/view/img/title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:56:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:58:04 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:58:20 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:58:38 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:59:39 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [07/Dec/2022:08:59:40 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:14 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:14 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:15 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:15 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:15 +0900] "GET /JSP_project/view/Header_login.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:22 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:22 +0900] "GET /JSP_project/view/html/img/title.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:11:51 +0900] "GET /JSP_project/view/html/img/title.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:13 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/flower.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/JS/slideShow.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/moon.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/fox.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/nature.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/lightning.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:12:23 +0900] "GET /JSP_project/view/html/image/space.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:12 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/image/lightning.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/image/fox.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/JS/slideShow.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/image/moon.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/image/nature.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/html/image/space.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:40:14 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 200 364444
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/JS/slideShow.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/image/fox.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/image/lightning.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/image/moon.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/image/nature.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:06 +0900] "GET /JSP_project/view/html/image/space.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/image/lightning.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/image/nature.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/image/moon.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/JS/slideShow.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/image/space.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:41:07 +0900] "GET /JSP_project/view/html/image/fox.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:43:12 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2990
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:44:40 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:44:41 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:47:55 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:47:55 +0900] "GET /JSP_project/view/html/JS/slideShow.js HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:07 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:07 +0900] "GET /JSP_project/view/js/slideShow.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:47 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:47 +0900] "GET /JSP_project/view/img/game01_title.ping HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:47 +0900] "GET /JSP_project/view/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:48 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:48 +0900] "GET /JSP_project/view/img/game01_title.ping HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:57 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:48:57 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:50:53 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:50:53 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:50:53 +0900] "GET /JSP_project/view/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:51:11 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/slide01.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/slide02.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/slide03.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/slide04.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/right-arrow.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:53:35 +0900] "GET /JSP_project/view/html/img/left-arrow.png HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:08 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:08 +0900] "GET /JSP_project/view/html/img/left-arrow.png HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:08 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:08 +0900] "GET /JSP_project/view/html/img/right-arrow.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:28 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:28 +0900] "GET /JSP_project/view/html/img/right-arrow.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:28 +0900] "GET /JSP_project/view/html/img/left-arrow.png HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:59 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:59 +0900] "GET /JSP_project/view/img/left-arrow.png HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:59 +0900] "GET /JSP_project/view/img/right-arrow.png HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:54:59 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:55:52 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:55:52 +0900] "GET /JSP_project/img/title.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:55:52 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:55:52 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:55:52 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
